No.,논문명,저자명,발행기관명,간행물명,권,호,발행년도,ISSN,국문초록,영문초록,키워드,페이지,URL
1,국민연금가입요인에 관한 성별 격차: 다수준분석기법을 중심으로,박찬웅 ( Chan Ung Park ),한국사회보장학회,사회보장연구,28,4,2012,1225-5866,"이 연구는 노동연구원의 ""한국노동패널"" 자료를 다수준분석기법(multi-level analysis)를 사용해서 국민연금 가입에 미치는 요인들이 개인 수준과 가구 수준에서 어떤 것이 있으며, 남녀에 따라 연금 가입에 미치는 요인이 어떤 차이가 있는가에 초점을 분석함으로써, 노후보장 수준과 관련해서 관찰되는 성별 격차의 원인을 찾아내고자 했다. 분석결과를 요약하면 다음과 같다. 첫째, 남녀 모두 개인 특성으로는 교육수준이 높을수록, 정규직이 비정규직보다, 결혼한 경우가 그렇지 않은 경우보다 공적연금에 가입할 가능성이 더 높다. 둘째, 가구 특성으로는 남녀 모두 가구소득이 높을수록, 초등학생 자녀수가 적을수록 공적연금에 가입할 가능성이 높아진다. 셋째, 자녀수가 연금 가입에 미치는 부정적인 영향은 남성에 비해 여성에게 더 큰 것으로 나타났다. 이는 연금 가입이 단순히 개인의 경제활동 특성만으로 결정되는 것이 아니라, 가구 특성 역시 중요하며, 특히 이런 가구 특성의 요인은 여성에게 더 중요한 것으로 나타났다. 이에 따라 노후 보장 관련 성별 격차를 줄이기 위해서는 연금보험료에 대한 직접적인 지원을 하거나, 육아 및 보육과 관련된 지원을 하는 것이 중요한 정책방안이라는 것을 제시했다.","This study examined individual and household level factors on joining national pension. Using the labor panel data of the Korea Labor Institute, this study applied a multi-level logit analysis of individual and household level factors on a possibility of joining the pension. The result showed that, at individual level, education, job stability, and marriage had positive effects on joining the pension. At the same time, controlling all the other individual factors, women were less likely to join pension, compared with men. The study also demonstrated that, at household level, household income had a positive effect and the number of children had a negative effect on joining the pension. More importantly, controlling other variables, an increase in the number of children affected women negatively more than men. These findings suggest that those factors on pension participation vary between men and women. Thus, we need to pay attention to gender sensitive policy to cope with old age poverty of women.","연금, 젠더, 다수준분석, pension, gender, multi-Level analysis",1 ~ 24,http://kiss.kstudy.com/search/detail_page.asp?key=3116674
2,유연안정성(Flexicurity)관점에서 본 근로시간단축,이준영 ( Jun Young Lee ),한국사회보장학회,사회보장연구,28,4,2012,1225-5866,"유연안정성(Flexicurity)은 노동시장에서 서로 상충하는 유연성과 안정성 간의 교환관계를 의미한다. 이미 네덜란드, 덴마크, 독일 그리고 벨기에 등 여러 나라들에서 서로 다른 사회·경제적 배경과 역사적 맥락에서 오랜 협상과정을 거쳐 각각 고유한 유연안정성들이 형성되었다. 본 연구는 유연안정성 관점에서 우리나라의 장시간근로 문제를 살펴보고, 외국 사례에 대한 검토를 기초로 우리나라에서 근로시간단축을 위한 정책적 전략을 모색하는 것을 목적으로 하였다. 우리나라에서 장시간근로는 주로 고용주 측의 낮은 수량적 외부(external)유연성 및 높은 수량적 내부(internal)유연성 그리고 임금유연성과 근로자 측의 낮은 결합안정성 및 높은 소득안정성 간의 결합으로 발생되는 경우가 많다. 노동시간 단축이 확산되기 위해서는 초과근로 및 연장근로로의 상향 유연성은 근로시간선택권 인정 등을 통해 하향 전환되고, 임금유연성은 축소되어야 하며 소득안정성은 더욱 증가되어야 한다. 이와 관련하여 단시간근로(part-time work) 및 비정규직에 대한 차별도 없어져야 한다.","Flexicurity is trade-off between flexibility and security in labour market which are conflicting each other. In countries like Netherlands, Denmark, Belgium and Germany, different types of flexicurity have been formed after long bargaining process under different socioeconomic circumstances of each countries. This study analyzed long time work from the perspective of flexicurity and prospected possibility of working time reduction in Korea on the basis of experiences in other countries. Long time work in Korea is trade-off between low numerical external flexibility and high internal flexibility and high wage flexibility on employer side, and low income security and low combination security on employee side. For reduction of working time, internal flexibility should be turned downwards through guaranteeing working time rights of employees, and wage flexibility have to be more lower and income security should be more higher. At the same time, discrimination against nonstandard workers including part-time workers should be abolished.","유연안정성, 노동시간단축, 장시간근로, 단시간근로, 이행노동시장이론, flexicurity, Long time work, working time reduction, part-time job, transitional Labor market theory, TLM-theory",25 ~ 48,http://kiss.kstudy.com/search/detail_page.asp?key=3116675
3,조기재취업수당제도의 법적쟁점과 평가,최홍기 ( Hong Ki Choi ),한국사회보장학회,사회보장연구,28,4,2012,1225-5866,"고용보험은 가장 늦게 발달한 사회보험(Sozialversicherung)임에도 불구하고, 오늘날 국가의 노동시장정책에 있어 핵심적 수단으로서 기능하고 있을 뿐만 아니라, 시대적으로도 다른 사회보험에 비해서 큰 의미를 지니고 있다. 고용보험에 대한 시대적 요청은 사회보장 연구분야에 있어서 많은 과제를 던지고 있다. 이를테면 사회보장을 위하여 성립된 고용보험법상의 각종 제도에 대해 학문적 관점에서 그 의의와 기능 그리고 목적을 어느 정도 체계적으로 일치시켜 가는 과정을 통해, 고용보험법 영역에서의 정밀한 해석론을 구축할 필요가 있는 것이다. 그러므로 최근 빈번히 발생하고 있는 고용보험과 관련된 분쟁 및 판례에 대한 구체적인 분석 및 평가를 통하여 현행 고용보험법이 가지고 있는 한계 및 문제점을 인식하고, 이에 대한 합리적인 개선방안을 제시하는 것도 그러한 연구의 일환이라고 이해할 수 있을 것이다. 이러한 점을 고려하여 볼 때, 조기재취업수당과 관련한 대상판결 및 그 밖의 법적쟁점에 대한 분석과 평가를 시도한 본 연구는 나름 의미를 갖는다고 볼 수 있다. 비록 아직은 조기재취업수당과 관련한 판례가 그다지 축적되지 않아 세밀한 법리구성이 미진한 부분도 없지 않지만, 본 대상판결들은 조기재취업수당제도의 도입취지를 기초로 실질적인 사실관계를 파악하여, 해당 수급요건 여부를 종합적으로 고찰·판단(Gesamtwurdigung aller Umstande)하고 있는 점은 타당하다고 볼 수 있다.","Although unemployment insurance is the latest developed social insurance (Sozialversicherung) system, it functions as the critical means in the country`s labor market policies these days and has great significance than other social insurance. On the other hand, demands of the times on the unemployment insurance challenge the research in the field of social security. In other words, through systematically matching its significance, function and the purpose to some extent from the academic perspective on the various systems on the Employment Insurance Act that is established for the social security, precise interpretation in the field of the Employment Insurance Act needs to be established. By specifically analyzing and accessing the disputes and precedents related to the unemployment insurance that are occurred lately, we should find the limitations and problems that current law has and should be able to provide reasonable improvement. When considering these points, the research that attempted analysis and evaluation for reemployment benefits and associated ruling has its significance. Although precedents related to the employment insurance are not accumulated and detailed reasoning is not entirely satisfactory, this ruling is very positive in that we specifically judge the supply requirements by identifying the actual facts based on the purpose of introducing the early reemployment benefits system.","고용보험, 조기재취업수당, 적극적 노동시장정책, 실업급여, unemployment insurance, reemployment benefits, active Labor market policies, employment benefits",49 ~ 73,http://kiss.kstudy.com/search/detail_page.asp?key=3116676
4,"보편주의 복지를 둘러싼 논쟁의 한계, 성과, 전망: 무상급식에서 4.11 총선까지",윤홍식 ( Hong Sik Yoon ),한국사회보장학회,사회보장연구,28,4,2012,1225-5866,"무상급식은 한국사회에서 복지이슈를 전국적 쟁점화 했다. 그러나 한계 또한 명백하다. 이는 무상급식에 대한 국민의 지지가 곧 한국사회가 보편적 복지국가로 나아가야한다는 대중적 동의로 등치되기 어렵다는 것을 의미한다. 현 정부에 대한 국민적 우려가 무상급식운동으로 표출되었다고 보는 것이 타당하다. 이렇게 보면 지난 복지논쟁에서 보편적 복지국가의 주요 전제들이 대중적 관심을 갖지 못한 것은 당연한 결과이다. 실제로 논쟁은 주로 개별 프로그램의 적절성과 이에 수반하는 재원문제로 제한되었다. 논쟁의 프레임이 개별 프로그램과 재원문제로 제한되자, 포퓰리즘 논쟁과 보수의 비판이 확산되었다. 결과적으로 복지논쟁의 실질적 성과를 판단할 수 있는 지난 4.11 총선기간 동안 보편적 복지는 중요 쟁점이 되지 못했다. 이러한 분석을 통해 본 연구는 결국 보편적 복지국가를 둘러싼 논쟁이 대중적 관심 하에 공론의 중심에 서기 위해서는 보편적 복지국가를 지지하는 주체가 서야하고, 주체를 중심으로 한 강력한 계급동맹이 요구된다는 것을 확인하고 있다.","Free Lunch Program made the welfare policies as the national issue in Korea. However, the limitation also obvious. We shouldn`t identify a national crazy for the free lunch programs with supporting the universal welfare state in Korea. People voiced their concern about undemocratic decision-making process and a series of maladministration cases in Lee MyungBak government. And so when you think about that, it is nature that there wasn`t any popular attention to the major premises of universal welfare state. In fact, the argument was limited to the appropriacy of individual welfare programs and finance. After the argument was limited, the conservative criticized the universal welfare policies as political populism. As a result, the universal welfare policies was not come to be the major issue in 4.11 general election.","보편주의, 복지국가, 계급동맹, 연대, 시민, Universalism, Welfare State, Class Alliance, Solidarity, Citizen",75 ~ 104,http://kiss.kstudy.com/search/detail_page.asp?key=3116677
5,일본의 사회보장-조세 일체개혁의 검토와 시사점 모색,류애정 ( Ae Jung Ryu ),한국사회보장학회,사회보장연구,28,4,2012,1225-5866,"본 연구는 일본 노다(野田)내각이 적극적으로 추진하고 있는 일본의 사회보장-조세 일체개혁안을 추진배경과 방향성, 그리고 주요 내용에 기초하여 집중적으로 분석한 후, 그 결과를 토대로 한국에의 시사점을 제시하는데 의의를 두고 있다. 일본의 사회보장-조세 일체개혁은 사회보장 기능강화와 재정건전성 확보라는 두 가지 목적을 달성하기 위해 중장기적 사회보장개혁 방안을 마련하고, 소비세율을 2015년 10%까지 인상시키는 방안을 포함하고 있다. 이러한 일체개혁이 일본의 장기적인 경제침체와 저출산고령화와 같은 사회환경적 변화에 기초하고 있다는 측면에서 일본과 유사한 사회문화적 환경에 있는 우리 사회에 시사 가능한 검토과제는 많을 수밖에 없을 것이다. 이러한 일본의 일체개혁과 관련한 주요 내용 분석이 ``13년 1월부터 시행을 앞두고 있는 사회보장기본법 전부개정안에 기초한 한국의 중장기적인 사회보장정책 추진방안을 결정하고 더불어 사회보장의 재정건전성검토의 필요성을 인식시켜 나가는 좋은 계기가 될수 있기를 기대한다.","The purpose of this study is propose to implication for the korea that the intensive analysis result about the promotion background, direction and main contents of the Japan`s social security-tax reform, Noda Cabinet. Japan`s social security-tax reform plan has two purposes, that the mid-to long-term Social Security reform measures and raise the consumption-tax rate hike to 10% in 2015. These reforms to Japan`s long-term economic recession and social and environmental change, such as the graying and are based on similar to Japan in terms of social & cultural environment in our society can only be possible in the current review, there will be no subject. Any of these major content analysis and reform of Japan is ahead of the January 2013 implementation of the Framework Act on Social Security. all amendments based on Korea`s long-term social security decisions and plans the need for review of the financial health of Social Security, expect to be able to be a good opportunity to recognize outgoing.","일본, 사회보장, 재정, 한국, 시사점, Japan, social security, finance, Korea, implication",105 ~ 127,http://kiss.kstudy.com/search/detail_page.asp?key=3116678
6,실망실업자의 특성과 복지욕구 분석,"박능후 ( Neung Hoo Park ) , 최민정 ( Min Jung Choi )",한국사회보장학회,사회보장연구,28,4,2012,1225-5866,"본 연구는 공식실업률과 체감실업률 간의 괴리가 발생하는 원인으로 지목되고 있는 실망실업자의 특성과 복지욕구를 공식실업자와 비교하여 고찰하고, 두 집단을 구분 짓는 요인을 분석한 후 정책적 함의를 논의하고 있다. 실증분석에는 한국복지패널 5차 자료가 사용되었다. 분석결과 실망실업자는 공식실업자에 비해 여성, 저학력자 등 노동시장의 취약계층에서 보다 더 빈번하게 발생하고 있으며, 이들의 경제형편이 더 어렵고, 전반적인 복지욕구 충족도가 낮으며, 본인의 의중임금수준도 낮다. 두 집단을 구분 짓는 보다 결정적인 요인은 개인의 심리상태로서 낮은 자신감과 낮은 만족도로 표현되는 심리적 위축은 실직자로 하여금 구직활동 자체를 단념하게 만드는 매우 강한 부정적 요인이 되고 있다. 이러한 분석결과는 실망실업자에 대한 보다 적극적인 사회적 보호대책이 필요함을 말해준다. 구체적 대안으로서 기존의 사회보험방식과 다른 실업부조제도 등 새로운 소득지원방안 마련과 사례관리기법을 사용한 자아존중감의 제고 방안 등이 제시되었다.","This study explores the characteristics and welfare needs of the discouraged workers, whose existence is regarded as a main cause of the discrepancy between official unemployment rate and the actually perceived unemployment rate. Using the data of the Korea Welfare Panel Study(KOWEPS), socio-demographic, socio-economic and psychological characteristics of the two groups are analyzed; the officially unemployed vs the discouraged workers. The results of analysis show that the underprivileged groups such as females and the less-educated are more likely to become the discouraged worker. In addition, the discouraged workers are in harder economic conditions, which means they are much more deprived in daily life, and their expected wage level is lower than that of the officially unemployed. The analysis also shows that psychological factors are more strongly associated with discouraged workers. The weaker mental state including psychological contraction such as low self-esteem and low life-satisfaction is often to urge the unemployed to abandon seeking jobs, which makes them to become discouraged workers. Based on the findings, policy implications are suggested. First, a design of new income maintenance program for the unemployed is proposed. Second, a case management program is offered to enhance self-esteem of the discouraged workers.","실망실업자, 공식실업자, 복지욕구, 의중임금, 심리적 요인, discouraged workers, the unemployed, deprivation, expected wage Level, psychological factor",129 ~ 155,http://kiss.kstudy.com/search/detail_page.asp?key=3116679
7,사회적 돌봄 서비스가 여성의 노동시장 참여에 미치는 영향: 생애주기별 효과를 중심으로,최영 ( Young Choi ),한국사회보장학회,사회보장연구,28,4,2012,1225-5866,"본 연구는 아동/가족, 노인, 장애인과 관련된 사회적 돌봄 서비스가 여성의 노동시장 참여에 미치는 영향을 여성의 생애주기에 따라 살펴보고자 하였다. 이를 위해 OECD 21개국을 대상으로 1980년부터 2007년까지 결합시계열자료를 구성하고 결합회귀분석을 통해 두 변인간의 관계를 분석하였다. 연구결과 사회적 돌봄 서비스 관련 공공지출의 증가는 탈가족화를 촉진하여 여성의 노동시장 참여를 증가시키는 것으로 나타났다. 한편, 이러한 효과는 사회적 돌봄 서비스의 형태에 따라 여성의 생애주기에 따라 상이하게 나타났다. 즉, 아동/가족 서비스 지출은 모든 연령대의 여성의 노동시장 참여에 긍정적인 영향을 미치는 것으로 나타난 반면 노인, 장애인 관련 서비스 지출은 중·장년층 여성의 노동시장 참여에만 유의한 영향을 미치는 것으로 나타났다. 이러한 결과를 바탕으로 돌봄의 사회화와 여성의 노동권 확보를 위해 국가의 재정조달자로서의 역할과 공급자로서의 역할을 강화할 필요가 있음을 제안하였다.","This study is purposed to examine the effect of social care services, aimed to mitigate women`s care responsibility for children, elderly, and disabled within family, on the women`s labor participation over the life course. For this, pooled time series data were collected from 21 OECD countries during the periods of 1980-2003 and a series of pooled time series regression analysis were conducted to identify those effects. The results showed that the increase of social care service expenditure had a positive effect on the increase of women`s labour force participation. However, these effects are somewhat different according to women`s life cycle and the type of service provided. In other words, the expenditure for children and family service could have a positive effects on the labor force participation over the all age categories. On the contrary, the expenditure for elderly and disabled could have a positive effects only on the labor force participation of middle aged women. Based on these results, increased roles of government in the area of social care in order to cope with new ``care risk`` were suggested.","사회적 돌봄 서비스, 여성 노동시장 참여, 돌봄 서비스 정책, 가족정책, social care services, defamilization, social care, women`s Labor force participation, family policy",157 ~ 184,http://kiss.kstudy.com/search/detail_page.asp?key=3116680
8,산재보험의 특수형태근로자 관리운영주체 설정에 관한 연구,"김진수 ( Jin Soo Kim ) , 정창률 ( Chang Lyul Jung )",한국사회보장학회,사회보장연구,28,4,2012,1225-5866,"특수형태근로자들의 산재보험 가입이 도입되었음에도 불구하고 임의가입과 보험료 분담 규정으로 인해 실제 가입률이 낮은 상황에서 이들의 산재보험 강제적용 법제화가 시도되고 있다. 또한 특수형태근로자 가운데 일부인 보험모집인들을 민영보험에 가입하도록 하는 시도가 활발해지면서 민영화 논쟁이 재연되고 있다. 이 주장은 기존 산재보험 민영화 논의와는 상이한 성격을 가지는 것으로서, 기존 산재가입자들에 대한 문제는 배제하고 새로 도입이 확대되는 일부 직종에 대해서만 민영 관리운영체계를 도입하겠다는것이다. 본 연구에서는 이론적 검토를 통해 민영보험이 산재보험에서 나타내는 사회안전망 기능의 한계를 제시한다. 또한 정부 조직의 변화나 기존 제도의 문제점 노출 등의 근본적인 문제가 대두되지 않는 상황에서, 이러한 일부 직종 민영화 논의가 적용확대 의미에 위배되고, 체제 운영의 혼란을 유발하며, 연대성을 훼손한다는 점에서 비판하였다. 그러나, 산재보험만으로 완벽한 재해보장이 불가능하다는 점에서 산재보험과 민영보험의 각자 이기주의에서 벗어난 조화 노력이 있어야 한다.","The mandatory introduction of quasi employees in occupational injury insurance is being considered because the current stipulation-based on voluntary coverage-for these labourers has some problems. Meanwhile, new argument that insurance salesmen, a part of these labourers, should be covered in private injury insurance becomes conspicuous. The argument, unlike the traditional privatization argument, is to introduce private management body for a part of these labourers only. This study suggests that private insurance is bound to have weaker social safety net than social insurance, criticizing such privatization argument because it can cause disorder of the current system, not match with the expansion of coverage, and spoil solidarity. However, it suggest the long-term strategy for occupational injury insurance such as harmonization between social and private insurance.","특수형태근로자, 민영화, 운영주체, 보험모집인, 조화방안 모색, quasi employees, privatization, management body, insurance salesmen, searching harmony",185 ~ 206,http://kiss.kstudy.com/search/detail_page.asp?key=3116681
9,건강보험 체납자 실태 및 시사점,"김진수 ( Jin Soo Kim ) , 최인덕 ( In Duck Choi )",한국사회보장학회,사회보장연구,28,3,2012,1225-5866,"본 연구에서는 건강보험 보험료 체납자의 보험료 부담인식, 제도인식 수준, 체납 행태 그리고 경제상황에 대하여 조사하고, 나아가 이들의 삶의 모습을 질적으로 탐구함으로써 보험료 체납자의 생활실태와 효과적인 관리방안 제시의 기초자료를 제공하고자 하였다. 보험료 체납대상자 중 할당표본추출을 통해 5%를 추출하여 조사 수집한 결과 3,278세대를 양적 조사하였고, 질적 조사 대상자는 64세대를 탐색적으로 분석하였다. 양적 조사 결과, 보험료 부담인식에서는 현행 보험료의 57.3%수준이 적정보험료 수준이라고 응답하였으며, 제도에 대한 인식에서는 결손처분에 대해 65.1% 인지하지 못한 것으로 나타났다. 보험료 체납사유는 경제적으로 어려워서라고 응답한 비율이 가장 높았으나, 경제적으로 어려워서 납부하지 않았다고 응답한 세대 중 60%정도는 월수입 100만원 이상의 경제적 능력이 있는 것으로 파악되었다. 체납세대의 경제상황에서는 민간보험에 가입한 비율이 55.3%로 여전히 높아 도덕적 해이 가능성을 보여주고 있다. 부채에 대한 상환능력이 없는 경우가 17.3%에 해당되고 있는데 이들에 대한 정책적 배려가 요구되고 있다. 질적 조사 결과, 체납자의 삶의 행태는 크게 실직/무직, 부도 등 경제적 파탄과 불안정한 소득, 빚과 체납의 악순환으로 절박한 생활, 장애 및 건강 상실, 가족해체라는 절박한 상황이 제시되었다. 따라서, 개개인의 특성에 부합한 체납자 관리 대책이 필요하며, 양적조사와 질적 조사를 통해 분석된 종합적 관리체계가 마련되어야 할 것이다.","This study is to explain the actual condition of National health insurance system`s contribution defaulters. Quantitative research on 3,278 defaulters is carried out and Qualitative study on 64 defaulters is made it. The major results of the quantitative analysis: First, Defaulters answered their willingness to pay their contribution is 57.3% of the their real contribution burden, Second, Contribution defaulters are not aware of the deficit disposal in contribution evasion is 65.1%, Third, The major reason of contribution evasion is financial hardship but we assume the 60% of them have economic ability because they may have beyond one million won a month according to NHIC means-test data. Fourth, 55.3% of contribution defaulters would take up a private health insurance plans so ethical standards of them are terribly lax, Finally, 17.3% of contribution defaulters does not have the capability to repay their debt. so we have to more considerate them in politics, The main analysis of the qualitative study: Contribution defaulters life experience tends to show us that most of their life are in extreme distress, They were unemployed and inoccupation and experienced economic disaster like bankruptcy, Also they have disability or health damage, divorce and family disorganization etc, Consequently, It is urgent that measures to protect National health insurance contribution defaulters below standard by these dual researches.","국민건강보험, 보험료 체납자, 체납자 관리 방안 National Health Insurance, contribution defaulters, management of contribution evasion",1 ~ 37,http://kiss.kstudy.com/search/detail_page.asp?key=3083268
10,우리나라 가구 과부담의료비의 발생 및 재발과 관련된 요인,"이혜재 ( Hye Jae Lee ) , 이태진 ( Tae Jin Lee )",한국사회보장학회,사회보장연구,28,3,2012,1225-5866,"의료비 지출은 가구의 다른 소비지출 항목과는 달리 예측 불가능하고 비자발적이기 때문에 의료이용은 가구의 재정에 타격을 줄 수 있다. 특히 우리나라는 전국민건강보험을 실시하고 있음에도 불구하고 보장성이 낮아 가구의 지불능력에 비해 의료비 지출이 일정 수준을 넘는 과부담의료비 지출이 문제가 된다. 이 연구에서는 한국의료패널 1차 및 2차 조사 자료를 이용하여 의료비 패널 데이터를 구축한 후 총 6,721가구에 대해 과부담의료비 지출 현황과 이에 영향을 주는 요인, 과부담의료비 지출의 재발과 관련된 요인을 살펴보았다. 가구 의료비가 가구총소득의 10% 이상인 가구 비율은 2008년 상반기, 2008년 하반기, 2009년 상반기에 13.63%, 14.80%, 14.63%로 다소 증가하고 있었다. 과부담의료비 발생에 영향을 주는 요인은 가구주의 연령 및 일자리, 건강보장 상태, 가구의 민간의료보험 보유 여부, 소비지출, 가구 내 만성질환 개수와 신생물, 뇌혈관질환, 당뇨병 유무로 나타났다. 과부담의료비의 반복 발생과 관련된 요인도 이와 유사하게 나타났다. 과부담의료비 발생에 영향을 주는 요인 중, 의료급여와 민간보험의 효과는 주의 깊은 해석이 요구되지만, 본 연구서 확인된 만성질환과 건강보장 유형의 효과는 보건의료의 재정을 설계하는데 좋은 근거를 제공한다.","Despite South Korea`s universal coverage under National Health Insurance, the financing of healthcare is still dependent heavily on out-of-pocket payment. This can lead many households to catastrophic health expenditure, which is defined as household`s spending for healthcare exceeded a certain portion of its ability to pay. Using Korea Health Panel, this study investigated the incidence of households catastrophic health expenditure and identified the factors related to incidence and recurrence of catastrophic health expenditure in South Korea, The proportion of households with catastrophic health expenditure during three periods were 13.63%, 14.80%, and 14.63%. Applying threshold of 10% of health expenditure out of household income, the panel logit model identified some factors that were related to the higher probability of catastrophic health expenditure; age, job status, and NHI status of household head, private health insurances and chronic diseases among the family members. Recurrent catastrophic health expenditure were also associated with those determinants. The positive or negative contributions of each chronic disease, Medical Aid, and private health insurance identified from this study can guide policy-makers to design better healthcare financing. Protecting people from catastrophic payments should be highly considered as a desirable objective of health policy.","과부담의료비, 의료비 부담, 형평성, 한국의료패널 catastrophic health expenditure, burden of health expenditure, equity, Korea Health Panel",39 ~ 62,http://kiss.kstudy.com/search/detail_page.asp?key=3083269
