No.,논문명,저자명,발행기관명,간행물명,권,호,발행년도,ISSN,국문초록,영문초록,키워드,페이지,URL
1,아동발달계좌 사업의 효과에 대한 탐색적 연구 -서울시복지재단의 꿈나래통장 사업의 사례를 중심으로-,김혜연 ( Hye Yeun Kim ),한국사회보장학회,사회보장연구,27,4,2011,1225-5866,"본 연구는 국내 아동발달계좌 사업의 효과에 영향을 미치는 원인에 대한 탐색적 연구이다. 아동발달계좌 사업이 2007년에 국내에 도입되었음에도 불구하고, 관련된 연구들이 거의 수행되지 않았기 때문에, 본 연구는 사업의 효과성을 탐색적으로 검토하고 국내 아동발달계좌 사업에 대한 이론적이고 실천적인 함의를 제공하기 위해 수행되었다. 분석 자료로는 서울시복지재단에서 서울시의 저소득가구를 대상으로 운영하고 있는 아동발달계좌 사업인 ``꿈나래통장`` 사업 참가자들에 대한 설문조사 자료를 이용하였으며, 분석 방법으로는 로지스틱 회귀분석을 사용하였다. 분석결과, 성인을 대상으로 하는 개인발달계좌사업과는 달리 사업의 구조적 측면의 영향력은 유의하지 않았으며, 오히려 부모와 관련된 변인들이 주요한 영향요인으로 나타났다. 이러한 결과를 바탕으로 정책적 제안을 하자면 다음과 같다. 우선, 아동발달계좌 사업의 효과성 증진과 관련하여 부모의 양육태도와 스트레스 정도가 주요한 변수로 나타나 부모의 아동에 대한 양육을 지원하고 긍정적인 태도변화를 유도할 수 있는 프로그램의 제공이 제안된다. 두 번째로, 저축행동 및 아동에 대한 태도를 변화시킬 수 있는 다양한 부가적인 프로그램의 제공이 필요하다. 마지막으로, 아동발달계좌 사업의 확대를 위해서는 사업의 효과성 검증이 필수적이다. 이를 위해서 아동과 가구의 변화를 살펴볼 수 있는 종단적 데이터의 구축이 필요하다.","CDA(Child Development Account) program for the low-income families with children has introduced to Korea in 2007. Nevertheless, there are little previous studies focused on CDA. Then, the purpose of this study is to evaluate the CDA Program and suggest theoretical and practical implications. This study adopted logistic regression model for the study purpose. Data used for this article is the survey on the participants of ``Seoul Dream-narae Saving Account Program`` implemented by Seoul Welfare Foundation. The results are as follows. First, child-rearing attitude and parenting stress are the important factors of the effectiveness of the Child Development Account Program. So, there are necessities to support for enhancing positively parents` child-rearing attitude and reducing parental stress. In addition, it is necessary to design supplementary programs in order to affect intention for saving and saving behavior. Finally, it is supposed to creating longitudinal datasets for investigating of long-term effects of CDA.","아동발달계좌, 자산형성 프로그램, 저소득 아동가구, Child Development Account, Asset-building, Low-income families with children",1 ~ 26,http://kiss.kstudy.com/search/detail_page.asp?key=2958440
2,국민건강보험 재정운영 효율화를 위한 내부경쟁체계 도입방안,최인덕 ( In Duck Choi ),한국사회보장학회,사회보장연구,27,4,2011,1225-5866,"최근 국민건강보험을 둘러싼 환경변화는 2001년의 재정위기를 상기시키고 있고, 제도의 지속가능성에 의문을 제기하고 있다. 특히, 통합 후 공단의 재정 운영에서 효율성 제고를 위한 노력이 미흡했음은 여러 가지 측면에서 지적되고 있다. 효율적인 재정운영에 있어 지역본부와 지사의 역할이 모호하며, 보험자 내부적으로 급여비 관리를 위한 경쟁 노력 역시 경주되고 있지 못하다는 주장이다. 이에 본 연구에서는 단일 보험자 방식의 현행 국민건강보험에서의 경쟁체계 도입에 대한 이론적 고찰을 토대로 외국의 규제된 경쟁체계, 분권화 사례를 살펴보고, 현재 국민건강보험 지역본부 및 지사 간 급여비 관리체계의 문제점과 한계를 분석하였다. 우선 실태분석에서는 재정증가추이, 지역본부별 급여비 증가추이와 편차분석, 지사간 급여비 지출 순위, 진료비내용 분석 등을 토대로 내부경쟁 필요성을 제시하였다. 다음으로 경쟁체계 설계를 위해 중앙본부, 지역본부 목표진료비 설정, 지역본부 및 지사간 경쟁방법으로 노인진료비와 생활습관병(대사증후군) 질환자의 관리를 제안하고, 평가방법을 구체화하였다. 결론에서는 연구결과를 요약하고, 내부경쟁체계 도입의 한계점과 정책적 함의를 제시하였는데, 지사간 특성의 철저한 분석, 하의상달식 의견수렴을 통한 경쟁지표 개발, 공단의 보다 적극적인 효율성 증진 노력의 필요성을 강조하였다.","There are no incentives which is economized financing in the National health insurance system. Because National health insurance system is single payer system. The objectives introducing regulated competition in NHIC(National Health Insurance Corporation) were to increase efficiency and consumer satisfaction in the provision of healthcare services. This study reviews the theory of regulated competition and incentives for insuree in Korea national health care insurance system which are necessary to fulfill these objectives. Second, this study analysis the sequence of 178 branches in the branch`s medical expenditure and identify the problems in lower ranked branch`s management of financing. Third, this study provide answers of regulated competition mechanism in NHIC single payer system. First of all, we suggest that it need to set up a goal of annual expenditure in 6 sub-branches or 178 branches. so this study designed the goal expenditure 6 sub-branches 2011. and then provide competition methods among branches from three points of views. First, Readjustment of National Health insurance Act. we introduce that central head office have to decentralize its authorities and responsibility of financing management. Second, head quarter and 6 sub-branches would like to set up a target expenditure and adopt competition methods which manage the expenditure of the elderly and the lifestyle disease. Third, we also suggest that 178 branches would get to look after their insuree who are older and have lifestyle disease respectively. The result and implications of this study are that it is need to introduce the regulated competition methods in the single payer National health insurance system. and we have to apply the competition rules which is collected by a bottom-up approach in 178 branches.","국민건강보험, 단일 보험자, 내부경쟁, 규제된 경쟁, 진료비 추이, 목표 진료비, 인센티브, single payer system, regulated competition, health expenditure, goal expenditure, incentives",27 ~ 54,http://kiss.kstudy.com/search/detail_page.asp?key=2958441
3,아동양육시설의 보호 비용함수 추정과 효율성,"강현아 ( Hyun An Kang ) , 노충래 ( Choong Rai Nho ) , 우석진 ( Seok Jin Woo ) , 전종설 ( Jong Serl Chun ) , 정익중 ( Ick Jeong Chung )",한국사회보장학회,사회보장연구,27,4,2011,1225-5866,"본 연구는 아동의 가정외보호서비스 중 아동양육시설을 통한 보호서비스의 비용함수와 비용-비효율성 정도를 추정하였다. 아동양육시설의 비용자료를 이용한 실증분석 결과, 다음과 같은 세 가지 사실을 발견하였다. 첫째, 아동양육시설의 경우 시설의 규모가 증가할 때 보호서비스에 소요되는 평균비용이 하락하는 규모의 경제가 존재하였다. 시설의 규모가 10% 증가할 때 총지출은 7.9% 증가하였다. 둘째, 실제지출과 비용이 최소화가 된 비용함수와 비교 해보면 평균적으로 약 37.7% 정도 더 지출되고 있는 것으로 추정되었다. 셋째, 이러한 비효율적 지출은 시설의 규모가 클수록 증가하는 것으로 추정되었는데, 시설의 총수입이 10% 증가할 때, 비용-비효율성이 약 3% 증가하였다.","This paper estimates the cost function and cost-efficiency of residential child out-of-home care. The estimation results, based upon the institution-level cost data and stochastic frontier analysis, reveal the following three facts. First, the residential child out-of-home care has a feature of returns to scale. Second, the current residential care turns out to be cost-inefficient in that the total expenditure is greater than the estimated cost function by around 38 percent. Third, the cost-inefficiency tends to increase as the total revenue of a facility increase. Specifically, 10 percent increase of total revenue leads to 3% increase of the cost-inefficiency measure.","아동양육시설, 비용함수, 확률변경모형, 가정외보호서비스, residential care center, cost function, stochastic frontier analysis, residential child out-of-home care",55 ~ 79,http://kiss.kstudy.com/search/detail_page.asp?key=2958442
4,장애인활동보조서비스에 대한 이용자 만족도 연구: 서비스 품질요인 및 서비스 가치와의 인과모형 분석,"이동영 ( Dong Young Lee ) , 박경하 ( Koung Ha Park )",한국사회보장학회,사회보장연구,27,4,2011,1225-5866,"본 연구는 장애인활동보조서비스(PAS)의 이용자 중심 서비스 체계를 구축하기 위해 이용자 중심 성과인 이용자 만족도에 초점을 맞춰 그 수준 및 기관 유형별 차이, 그리고 서비스 품질요인과 서비스 가치와의 구조적 관계를 실증 분석하고자 하였다. 이를 위해 장애인자립생활센터 및 장애인복지관 이용 장애인 360명을 대상으로 설문조사를 실시하여 획득한 자료를 통해 각각 기술적 분석, 차이분석, 구조방정식 분석을 실시하였다. 분석결과, 기술적 분석에서는 서비스 품질요인 중 신뢰성이 상대적으로 높은 수준을 나타냈고, 서비스 가치와 이용자 만족도는 모두 보통이상의 긍정적 평가를 보이는 것으로 나타났다. 기관유형별 차이분석에서는 통계적 유의성이 발견되지 않았다. 세 요인 간 인과모형 분석에서는 서비스 품질요인의 이용자 만족도에 대한 영향에서 직접적인 영향보다는 서비스 가치를 매개로 간접적으로 영향을 미치는 효과가 더 큰 것으로 나타났으며(부분매개), 이용자 만족도에 대한 총효과에서 신뢰성이 가장 큰 영향을 미치는 것으로 나타났다. 이러한 분석결과를 토대로 서비스 신뢰성을 높일 수 있는 체계적 서비스 계획수립 등 신뢰관계형성 및 기대관리전략을, 그리고 서비스 가치의 중요성을 고려한 본인부담 절감노력 및 서비스 단가조정 전략 등에 대한 정책제언을 제시하였다.","This study set out to conduct empirical analysis of structural relations among the service level, differences among the organizational types, service quality factors, and service value with a focus on user`s satisfaction, one of the user-oriented achievements, in order to set up a user-oriented service system called personal assistance service(PAS) for the disabled. For that purpose, the investigator took a survey with 360 individuals with a disability that used service at centers for independent living for the disabled and welfare centers for the disabled and put the collected data to descriptive analysis, difference analysis, and structural equation analysis. The analysis results show that reliability of the service quality factors exhibited a high level in the descriptive analysis. Service value and user`s satisfaction received positive evaluations at an average level or higher. There was no statistical significance according to the analysis results of differences among the organizational types. The causal model analysis results among the three factors show that the service quality factors had more indirect effects on user`s satisfaction through the mediation(partial mediation) of service value than direct effects and that reliability had the biggest influence on total effect for user`s satisfaction. Those analysis results were then used to set strategies for forming reliable relationships and performing expectation management such as a systematic service plan to increase service reliability and make policy suggestions for the efforts to cut down user`s fee and regulate service unit costs by considering the importance of service value.","장애인활동보조서비스(PAS), 서비스 품질요인, 서비스 가치, 이용자 만족도, 기술적 분석, 차이분석, 구조방정식 분석((SEM), personal assistance service(PAS), factors of service quality, service value, client satisfaction, descriptive analysis, difference analysis, structural equation modeling((SEM)",81 ~ 109,http://kiss.kstudy.com/search/detail_page.asp?key=2958443
5,산재보험 사각지대 해소를 위한 연구: 퀵서비스종사자를 중심으로,오종은 ( Jong Eun Oh ),한국사회보장학회,사회보장연구,27,4,2011,1225-5866,"산업의 다양화 및 융합화로 인한 새로운 서비스 및 고용 형태는 지속적으로 창출되고 있으며, 이에 따라 영업자와 근로자의 특성을 함께 지닌 형태의 노무를 제공하는 특수형태근로자가 계속적으로 늘어나고 있다. 그러나 산재보험의 적용이 근로기준법상의 근로자로 한정됨에 따라 특수형태근로자의 대부분은 근로자와 유사한 형태의 노무를 제공하면서도 산재보험 적용제외 되어 산업재해의 위험에 노출되어 있다. ``퀵서비스종사자``도 이러한 산재보험의 사각지대에 있는 대표적인 직종이라고 할 수 있다. 이 연구에서는 최근 적용확대와 관련한 논의가 활발하게 이루어지고 있는 ``퀵서비스종사자``에 대한 일자리 특성을 파악하고 산업재해보험적용 확대를 위한 타당성 검증을 통하여 퀵서비스종사자 재해보상에 대한 기본 틀을 마련하고자 한다. 이를 위하여 퀵서비스종사자의 재해보장에 대한 해외사례를 살펴보고 우리나라의 현황파악을 통하여 산재보험 적용을 위한 정책방향을 설정하는데 기여하고자 한다.","This study is about minimizing of gaps in Industrial Accident Compensation Insurance. We analyse the characteristics of job for motorcycle dispatch riders and verify the validity for expansion of application of Industrial Accident Compensation Insurance for them. We use the 421 survey data of motorcycle dispatch riders for analysis. They are exposed to risks of industrial accidents as workers and need to be protected by Workers` Compensation Insurance. The result of research shows that the majority of motorcycle dispatch riders are man and they are uneducated, the elderly and long time workers. 98.3% of motorcycle dispatch riders has positive intension of Industrial Accident Compensation Insurance. This paper compares the difference of Workers` Compensation Insurance for motorcycle dispatch riders in case of Germany, France, England, America and Japan. And also, this paper suggests the political way to cover motorcycle dispatch riders`s industrial accidents.","퀵서비스종사자, 산업재해보상보험, 일자리 만족도, 재해 실태, motorcycle dispatch riders, Industrial Accident Compensation Insurance, job satisfaction, actual condition of industrial accident",111 ~ 135,http://kiss.kstudy.com/search/detail_page.asp?key=2958444
6,"시민사회와 사회정의의 맥락에서 본 연대성의 위기와 그 극복 -뒤르깽, 하버마스, 롤즈 그리고 왈쩌의 입장을 중심으로-",남현주 ( Hyun Joo Nam ),한국사회보장학회,사회보장연구,27,4,2011,1225-5866,"본 연구의 목적은 현대사회에서 연대성이 제대로 작동하지 않는 이유를 밝히고, 이러한 ""위기""를 극복하기 위하여 연대성의 경험적 출처를 제공하는 현실공간을 확인한 후, 사회정의라는 개념을 통해 그것의 규범성을 견지해 보자는 것이다. 이때 연대성의 경험적 공간을 확인한다는 것은 우선 연대성의 이념이 형성되는 현실공간을 시민사회(civil society)에서 확인하는 것이다. 이를 통해 연대성의 위기와 시민사회의 위기가 공속관계에 있으며, 위기의 극복은 결국 시민사회의 활성화에서 모색되어야 함이 이론적으로 논증될 것이다. 또한 연대성의 규범성을 견지한다는 것은 연대성을 규범적으로 정당화함으로써 그것의 자발적 실천성과 규범적 구속력을 보장하는 것을 의미한다. 이를 위하여 연대성이 어디까지 정의의 원칙을 전제하며 어떻게 사회정의론의 맥락에서 정초되는지 물을 것이다. 연대성이 제도화된 현대복지국가 안에서 이러한 논의는 연대성의 위기를 극복하고 사회통합을 이루기 위하여 우리사회가 거쳐야할 수많은 사회적 토론의 장에서 합리적이고 건설적인 의사소통을 가능하게 하는데 기여할 것이다.","This study aims at identifying why solidarity fails to work in the modern society; to overcome such a ""crisis,"" finding the ground that provides empirical sources of solidarity; and maintaining the norm of solidarity through the concept of social justice. Finding a empirical ground means finding a physical space where solidarity is formed in a civil society. Through this process, it is expected to theoretically prove that solidarity crisis and civil society crisis belong to a common relationship, and thereby overcoming the crises requires invigoration of civil society. In addition, maintaining the norm of solidarity refers to normatively justifying solidarity and thereby guaranteeing voluntary actions and normative binding forces. To this end, questions arise regarding to what extent solidarity is premised on the principle of justice, and what context of social justice solidarity begins. In a modern welfare state where solidarity is institutionalized, such discussion shall contribute to rendering reasonable and constructive communication in many social discourses that are necessary to overcome solidarity crises and completing social unification.","연대성, 시민사회, 사회정의, 뒤르깽, 하버마스, 롤즈, 왈쩌, solidarity, civil society, social justice, Durkheim, Habermas, Rawls, Walzer",137 ~ 164,http://kiss.kstudy.com/search/detail_page.asp?key=2958445
7,저소득자 노동시장 지위 변화에 대한 동태적 분석,성재민 ( Jae Min Seong ),한국사회보장학회,사회보장연구,27,4,2011,1225-5866,"이 논문은 한국노동패널조사를 이용해 저소득자의 노동시장 지위변화를 연구하였다. 기존 연구들과는 달리 저소득에서 비저소득으로의 이행 뿐 아니라 실업 및 비경활로의 이행, 실업 및 비경활로 이행한 사람들의 저소득으로의 재진입과 비저소득으로의 이행까지를 분석하였다. 분석결과 저소득에 있었던 사람들은 비저소득보다 실업 및 비경활로의 이행을 더 많이 경험하며, 실업 및 비경활 상태에 진입하면 일자리에 재진입하는 것 자체에서 어려움을 겪는다는 점을 발견하였다. 저소득을 반복적으로 경험하는 사람들은 전체 저소득 경험자 중 소수이지만, 한 시점에서 보면 저소득자 중 다수를 차지하고 있는 것으로 분석되었다. 이전 일자리에서 비자발적으로 이직한 경우, 저소득에서 오래 머무는 미관측 특성을 가진 경우, 저소득에서 실업·비경활로 이행할 가능성이 높은 미관측 특성을 가진 경우 저소득 굴레에서 빠져나오기 어려운 것으로 추정되었다.","In this paper, I use KLIPS(Korea Labor and Income Panel Study) data to analyze the labor market outcomes of low-income earners. Unlike previous studies, in this study I analyze transitions from low-income to not only non-low-income states, but also to unemployed and not-economically -active states. I also analyze transitions from unemployed or not-economically-active to low-income and non-low-income states. Empirical results show that, compared to non-low-income individuals, those in low-income states tend to have a higher probability of transitions to unemployed or not -economically-active states. I also find that once these individuals enter unemployed or not- economically-active states, they face greater difficulty in re-gaining work. Although individuals who experience repeated spells of low income account for only a small fraction of all individuals who experience low income, from a cross-sectional perspective they account for the majority of all low-income individuals. I find that individuals who had experienced involuntary job separation from their last job have a higher probability of experiencing transitions from low-income to unemployed or not-economically-active states, rather than to non-low-income states. Finally, from random effect result, I find that the duration of low-income states tends to reduce the probability of transitions to non-low-income states. Likewise, the duration of unemployed or not-economically-active states reduces the probability of finding work.","저소득자 노동시장 이행, 다출구 모형, 복수상태 이행모형, 생존분석, 미관찰 특성, 비자발적 이직, Transition of Low income earner, Competing risks model, Multiple state Model, unobserved heterogeneity, Involuntary separation",165 ~ 189,http://kiss.kstudy.com/search/detail_page.asp?key=2958446
8,한부모에 대한 활성화 정책의 국제 비교,김종일 ( Jong Il Kim ),한국사회보장학회,사회보장연구,27,4,2011,1225-5866,"선진 복지국가에서 한부모 활성화 정책은 최근 하나의 추세로 부각되고 있다. 이 연구는 미국, 영국, 네덜란드, 노르웨이 4개국을 대상으로 한부모 활성화 정책을 비교 분석하였다. 비교 기준은 활성화 정책의 배경, 수단, 운영 방식, 돌봄 정책과의 상호 작용 등이다. 분석 결과 한부모 수급자의 복지 의존 완화와 경제적 자립이라는 공통 목표에도 불구하고 세부 정책 내용에는 상당한 차이가 있는 것으로 드러났다. 가장 두드러진 현상은 미국의 예외주의다. 미국은 거의 모든 면에서 나머지 3국과 차이를 보였다. 영국은 같은 자유주의 복지국가에 속하면서도 미국과 큰 차이를 보였는데 인종, 종교, 보편주의 요소 등이 이 차이를 설명하는 변수들이다. 네덜란드는 4개국 중 과거와의 단절이 가장 심한 사례로 판명되었다. 노르웨이는 미국과 대척점에 위치한 전형적인 노르딕 국가임이 확인되었다. 결론적으로 한부모 활성화 정책은 외견상 수렴하는 것처럼 보이지만, 실상은 많은 차이를 드러냈다. 이 차이는 부분적으로 복지체제의 영향 때문이고 개별 국가가 처한 현실도 일정한 설명력을 갖는다.","In the 1990s some Western countries launched activation policies for single parents on the state welfare. Among those are the US, the UK, the Netherlands and Norway. These countries apparently converged on both policy backgrounds and goals. This article compares these policies in terms of their backgrounds, instruments, mode of governance and the related childcare policies. In all four countries there is an increasing focus on promoting the so-called adult worker model. However, detailed analysis reveals that considerable differences exist among the four countries. In particular the author found the US an exceptional case. The US differs from the rest in almost all aspects. Even the UK, a similar liberal welfare state, was different from the US. Norway constitutes an exact opposite case for the US, showing the typical Nordic characteristics. Finally the Netherlands appears to have departed farthest from the past.","한부모, 활성화 정책, 취업 우선 전략, 복지체제, 성인 노동자 모델, 돌봄 정책, single parents, activation policy, work first strategy, adult worker model, welfare regime, childcare",191 ~ 223,http://kiss.kstudy.com/search/detail_page.asp?key=2958447
9,산재보험제도의 주요 문제점과 개선방안,김상호 ( Sang Ho Kim ),한국사회보장학회,사회보장연구,27,4,2011,1225-5866,"산재보험제도는 산업구조와 고용형태의 변화, 산업재해와 직업병에 대한 국민 의식의 변화, 사회보험 운영구조의 변화 및 저출산·고령사회의 도래 같은 외부환경 변화에 적절히 대응하지 못한다는 비판을 받고 있다. 본 논문은 연구자가 생각하는 산재보험제도의 주요 문제점을 지적한 후 개선방안을 제시함으로써 산재보험제도가 시대변화에 부응하는 제도로 변화하여 바람직한 위상을 정립할 수 있도록 하는데 목적이 있다. 주요 문제점으로 보험료율 산정 과정에서의 취약한 예방기능, 장기재정 불안정 및 취약한 재활기능을 지적하고 이에 초점을 맞추어 산재보험제도의 개선방안을 제시하였다. 주요 개선방안으로 사업주의 예방활동이 강화되도록 업종별 보험료율과 개별실적요율의 수지율 산정 방법을 변경하고, 장기재정 위기를 극복하기 위하여 과거 재해에 기인하는 미적립채무를 단계적으로 축소할 수 있도록 적립금 규모를 확충하도록 하고, 산재 발생 시 직장에 조기에 복귀할 수 있도록 재활사업을 활성화 할 것을 제안하였다.","Workers` Compensation Insurance is criticized on the ground that it does not respond adequately to the fast-changing industry and employment structure in Korea, a critical mind on the industrial accidents and occupational diseases, the changing management structure of the social insurance systems and the advent of a society with a falling birth rate and aging of the population. The purpose of this paper is to investigate major problems of Workers` Compensation Insurance and to suggest some improvement measures so that Workers` Compensation Insurance can be settled down as a desirable system. The priority should be given to the policy to reinforce preventive activities of employers for averting industrial accidents and the rehabilitation measures in order to bring back the injured workers to their workplace. The supervisory function of the government should be strengthened to mobilize preventive function and the calculation method of the premiums should be changed so that economic incentives strongly promote the employer`s efforts in terms of the prevention of accidents in their workplace.","산재보험, 예방활동 강화, 산업재해, workers compensation insurance, reinforcement of preventive activities, industrial accidents",225 ~ 246,http://kiss.kstudy.com/search/detail_page.asp?key=2958448
10,연금제도 성숙시점에서의 노인빈곤율 추정과 국민연금의 빈곤개선효과,"백화종 ( Hwa Jong Baek ) , 강성호 ( Sung Ho Kang )",한국사회보장학회,사회보장연구,27,4,2011,1225-5866,"본 연구에서는 한국노동패널조사(1차~12차) 자료를 활용하여 생애소득, 보험료 납부이력 및 연금수급여부, 급여수준 등을 추정하고 이를 활용하여 연금제도 성숙기(~`38년)에서의 노인빈곤율과 국민연금제도의 노인빈곤 개선효과를 살펴보았다. 본 연구결과는 두 가지 관점에서 국민연금의 빈곤개선 효과를 살펴보고 있는데, 먼저 ``생애기간동안의 개인의 평균소득 관점``에서 볼 때 국민연금은 노후소득 향상을 통해 탈빈곤에 영향을 주는 것으로 나타났다. 성별로는 여성이, 연령은 높아질수록 빈곤율 감소 효과가 큰 것으로 추정되었다. 다음으로, ``연금제도 성숙단계별 국민연금의 탈빈곤 효과``를 분석하였는데, 연금제도가 성숙하여 감에 따라(``08년→``38년) 탈빈곤율이 꾸준히 증가하였으며(1.8%→1.9%→2.4%→2.5%), 성별로는 여성의 탈빈곤율이 높았으며, 70세 이상 고령자는 제도성숙에 따라 탈빈곤이 증가하는 추세를 보여, 제도가 성숙되어 감에 따라 국민연금의 탈빈곤 효과가 초고령층에 강하게 나타날 것임을 시사하고 있다. 한편, 65세이상 노인인구에 대한 탈빈곤 효과를 살펴본 결과, ``08년 1.8%p, ``18년 3.3%p, ``28년 2.8%p, ``38년 2.2%p로 나타나 제도가 성숙되어 감에 따라 탈빈곤 효과가 증가하다가 일정시점 이후에는 정체할 것으로 추정되었다. 동 분석결과를 통해 볼 때, 국민연금의 빈곤개선효과는 지속적으로 나타날 것이므로 성숙단계까지 고려한 국민연금 분석이 필요할 것이며, 또한 제도에 대한 정책적 판단에 있어 신중할 필요가 있음을 시사한다.","This study analyzes old-age poverty rate and the improvement of poverty at public pension adulthood, focusing on lifetime income, a recode of contribution, acceptance of National pension. Data come from Korean Labor and Income Panel Study(KLIPS), 1st~12th. The main results of this research are summarized at two viewpoints as followings: firstly, at average income viewpoint during lifetime, National Pension had the effect on anti-poverty rate because of improvement of the aged income. we analyzed that the decrease of poverty rate was found in women than men, and more elder. Secondly, at the stage of mature of National Pension, poverty rate decreased over time. we found that the decrease of poverty rate existed higher in women than men and the old over 70. This means that anti-poverty rate increased over time and especially in an elderly population of more than 20 percent. Finding from this study suggest that the effect of the anti-poverty and improvement of poverty will be continuously for the next few years. Therefore, further studies evaluating the effect of National Pension at adulthood stage(maturity period) are necessary.","국민연금, 생애소득, 탈빈곤율, National Pension, Lifetime income, anti-poverty rate",247 ~ 272,http://kiss.kstudy.com/search/detail_page.asp?key=2958449
